SMILES,Label,odor
CC(C)CCS,0,0.00000077
CCCCCS,0,0.00000078
CCCCS,0,0.0000028
CC1=CNC2=CC=CC=C12,0,0.0000056
CC(C)S,0,0.000006
CC(C)CS,0,0.0000068
CCS,0,0.0000087
CCCCCCCC=O,0,0.00001
CCCS,0,0.000013
CCOC(=O)CC(C)C,0,0.000013
CCCCCCS,0,0.000015
CCOC(=O)C(C)C,0,0.000022
CC(C)(C)S,0,0.000029
CCC(C)S,0,0.00003
CN(C)C,0,0.000032
CCSCC,0,0.000033
CCCCC(=O)O,0,0.000037
CCCC(=O)OCC,0,0.00004
CC(=O)C(=O)C,0,0.00005
CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0,0.000054
CS,0,0.00007
CC(C)CC(=O)O,0,0.000078
CC(C)CC=O,1,0.0001
CC1=CC(=CC=C1)O,1,0.0001
CCCCC(=O)OCC,1,0.00011
C=CCSC,1,0.00014
CCCCCCC=O,1,0.00018
CCCC(=O)O,1,0.00019
C=CCS,1,0.00022
C=CCSSCC=C,1,0.00022
CCCCCC=O,1,0.00028
CC1=CC=CC=C1O,1,0.00028
C1=CC=C2C(=C1)C=CN2,1,0.0003
CCCCCCCCC=O,1,0.00034
CC(C)C=O,1,0.00035
CCC1=CC=C(CC)C=C1,1,0.00039
CCCCCCCCCC=O,1,0.0004
C(C)CCCC(=O)O,1,0.0004
CCCCC=O,1,0.00041
CCCCCCCC=C,1,0.00054
C1=CSC=C1,1,0.00056
CCCCCC(=O)O,1,0.0006
C1CCSC1,1,0.00062
CCCC=O,1,0.00067
CCCCCCCCCCO,1,0.00077
CCCCCCCCCO,1,0.0009
CCC=O,2,0.001
CCCCCCC=C,2,0.001
CC=O,2,0.0015
CC(C)C(=O)O,2,0.0015
CC(C)CN,2,0.0015
CCCC(=O)OCC(C)C,2,0.0016
CC(C)CCO,2,0.0017
CC(=O)OCCCCCC,2,0.0018
CC(C)C(=O)OC,2,0.0019
CCSSCC,2,0.002
CC(C)C(=O)OC(C)C,2,0.002
CSSC,2,0.0022
CCCCC(=O)OC,2,0.0022
CC(C)CC(=O)OC,2,0.0022
CCC(C)OC(=O)C,2,0.0024
